link,text,date,is-retweet,external-link,quoted-post,pictures,videos,gifs,name,username,profile_id,avatar,comments,retweets,quotes,likes
https://twitter.com/DONNIESMOLDER/status/1711397161508679861#m,"A rocket from Palestine and Gaza cost $75,000. a missile from the iron Dome cost $1 million  a difference of $925,000.  A blind man can see what’s going on here.","Oct 9, 2023 · 3:04 PM UTC",False,,{},[],[],[],DONNIE,@DONNIESMOLDER,1694882655681040384,https://pbs.twimg.com/profile_images/1694882655681040384/jL8BcN_t_bigger.jpg,1,0,0,0
https://twitter.com/BocaRed561/status/1711395551353139441#m,Mia should move to Palestine and resume her porn career and continue Only Fans! I wonder how the Palestinian people would react?  Mia is all talk and the only action she takes is in front of camera.🤷‍♂️,"Oct 9, 2023 · 2:57 PM UTC",False,,{},[],[],[],Christopher Joseph,@BocaRed561,1639780962417401857,https://pbs.twimg.com/profile_images/1639780962417401857/xWd1SINv_bigger.jpg,3,1,0,144
https://twitter.com/paulswan1961/status/1711394439921344884#m,The media is backing   Isreal  all the way always have Biden makes  it clear he is a 100% behind lsreal Offers Military support  CALLS Palestine a bunch of terriosts,"Oct 9, 2023 · 2:53 PM UTC",False,,{},[],[],[],paul swan,@paulswan1961,1469701189944193028,https://pbs.twimg.com/profile_images/1469701189944193028/1M8bfRVU_bigger.jpg,0,0,0,0
https://twitter.com/TimothyHorrigan/status/1711394083887796650#m,"Actually, no, that's NOT the purpose of the land acknowledgements. Those statements mean exactly they say: they're an acknowledgement of the people whose ancestors were here in America before us White people showed up. Nothing to do with Palestine at all.","Oct 9, 2023 · 2:52 PM UTC",False,,{},[],[],[],(((Timothy Horrigan))),@TimothyHorrigan,1275208392202752004,https://pbs.twimg.com/profile_images/1275208392202752004/AG_fBuLo_bigger.jpg,12,0,3,0
https://twitter.com/clivejay/status/1711393948437025218#m,where is palestine country ??,"Oct 9, 2023 · 2:51 PM UTC",False,,{},[],[],[],Clive J,@clivejay,996117434661732353,https://pbs.twimg.com/profile_images/996117434661732353/lbhbyDPz_bigger.jpg,0,0,0,0
https://twitter.com/TootyKorn2/status/1711393123677405668#m,"Disgraceful, SF used to be a party on the side of the Oppressed. Now they have chosen to side with the oppressor. Absolutely despicable  FREE PALESTINE 🇵🇸🇵🇸🇵🇸","Oct 9, 2023 · 2:48 PM UTC",False,,{},[],[],[],FREE PALESTINE 🇵🇸,@TootyKorn2,1709563603991371777,https://pbs.twimg.com/profile_images/1709563603991371777/JpHBQ9L4_bigger.jpg,1,0,0,4
https://twitter.com/mohaiminho6/status/1711393067104661653#m,"Palestinian Arab Muslims and Palestinian Arab Christians, and Jews lived in Palestine before the establishment of Israel. Arab Muslims were the vast majority of the population. All three religions were there since it is a birthplace for the abrahamic religions.","Oct 9, 2023 · 2:47 PM UTC",False,,{},[],[],[],Mohaiminho,@mohaiminho6,1725570067897667585,https://pbs.twimg.com/profile_images/1725570067897667585/-oOoNEjT_bigger.jpg,1,0,0,1
https://twitter.com/zefferhills/status/1711392469235966127#m,Sooooo kill everyone in the Palestine? And take their lands?,"Oct 9, 2023 · 2:45 PM UTC",False,,{},[],[],[],does a frog have a watertight asshole?,@zefferhills,1669903625693405190,https://pbs.twimg.com/profile_images/1669903625693405190/BBjKZdnI_bigger.jpg,1,0,0,1
https://twitter.com/NsuarezDiaz/status/1711392408259252592#m,Send them to Palestine,"Oct 9, 2023 · 2:45 PM UTC",False,,{},[],[],[],norma diaz 🍊45/47,@NsuarezDiaz,1559531943175372804,https://pbs.twimg.com/profile_images/1559531943175372804/m2ov8os4_bigger.jpg,0,0,0,0
https://twitter.com/RankinLaw/status/1711392326226993451#m,"I doubt any prosecution would be successful. The section was not designed to address matters involving international disputes, like the  Israeli-Palestine conflict. However distasteful these actions are we have to limit the reach of criminality to exclude political expression.","Oct 9, 2023 · 2:45 PM UTC",False,,{},[],[],[],Michael Rankin,@RankinLaw,1449414505746866177,https://pbs.twimg.com/profile_images/1449414505746866177/4tiJeS-j_bigger.jpg,0,0,0,0
https://twitter.com/Sierra4Shasta/status/1711392095746003378#m,"These are the people we need to send to Palestine and explain to them why what they are doing is wrong,","Oct 9, 2023 · 2:44 PM UTC",False,,{},[],[],[],TR Hull,@Sierra4Shasta,1563276734736150529,https://pbs.twimg.com/profile_images/1563276734736150529/kLgxGvEP_bigger.jpg,0,0,0,0
https://twitter.com/Monica98011729/status/1711391424862892243#m,No prayers for Palestine 🇵🇸? What kind of Christian are you?,"Oct 9, 2023 · 2:41 PM UTC",False,,{},[],[],[],Monica,@Monica98011729,1226550805894877184,https://pbs.twimg.com/profile_images/1226550805894877184/HGTWBtZN_bigger.jpg,0,0,0,0
https://twitter.com/SilverSmithMama/status/1711391342121640129#m,Don’t do this. Left politics don’t have anything to do with what’s happening between Israel and Palestine.,"Oct 9, 2023 · 2:41 PM UTC",False,,{},[],[],[],The Bracelet Lady!,@SilverSmithMama,1371430191302598658,https://pbs.twimg.com/profile_images/1371430191302598658/ggKdQbWa_bigger.jpg,0,0,0,0
https://twitter.com/slimegirlmarx2/status/1711391269958869345#m,lmao @ you support ukraine but not palestine. you’re a spineless loser,"Oct 9, 2023 · 2:40 PM UTC",False,,{},[],[],[],rat making whipped cream,@slimegirlmarx2,1314114196791910400,https://pbs.twimg.com/profile_images/1314114196791910400/AO_wexp0_bigger.jpg,1,0,0,0
