link,text,date,is-retweet,external-link,quoted-post,pictures,videos,gifs,name,username,profile_id,avatar,comments,retweets,quotes,likes
https://twitter.com/MadinahForDE/status/1712129912046256567#m,Rick Jensen- invite me on the show so we can have an honest conversation about the situation in Israel/Palestine.   Or are you too afraid I’d run circles around you? (Somebody plz print this out so he can see it.),"Oct 11, 2023 · 3:35 PM UTC",False,,{},[],[],[],Madinah Wilson-Anton,@MadinahForDE,1288142344773140481,https://pbs.twimg.com/profile_images/1288142344773140481/5BZ3v8kt_bigger.jpg,2,5,0,17
https://twitter.com/ChadLivengood/status/1712064694641438740#m,"“When Joe Biden says unwavering support for Israel, that gives Israel a green light to decimate Palestine. Biden has not urged restraint,” said Amer Zahr, president of New Generation for Palestine who organized a rally for Palestine last night in Dearborn. https://www.detroitnews.com/story/news/local/wayne-county/2023/10/10/dearborn-rally-calls-for-end-to-palestinian-occupation-as-war-rages/71130889007/","Oct 11, 2023 · 11:16 AM UTC",False,,{},['https://pbs.twimg.com/media/F8J5w5DXUAASSiW.jpg'],[],[],Chad Livengood,@ChadLivengood,1677025348574142466,https://pbs.twimg.com/profile_images/1677025348574142466/vhBllZ7I_bigger.jpg,2,3,0,7
https://twitter.com/JacquiHeinrich/status/1711950123486314645#m,"On Hamas motive: remember negotiations between the kingdom of Saudi Arabi and Israel to potentially recognize Israel as a nation.   “In the wake of these attacks, it appears all progress has been lost as the crown prince has made comments in support of Palestine….","Oct 11, 2023 · 3:41 AM UTC",False,,{},[],[],[],Jacqui Heinrich,@JacquiHeinrich,1368411954352713735,https://pbs.twimg.com/profile_images/1368411954352713735/TWUq1jy__bigger.jpg,7,49,6,198
https://twitter.com/BrandanJR/status/1711923516587835604#m,"I’ve traveled to Palestine many times as an openly gay man, and stayed in the homes of Palestinian families. You’re over generalizing here in such a problematic way.","Oct 11, 2023 · 1:55 AM UTC",False,,{},[],[],[],Brandan J. Robertson,@BrandanJR,1706896235045543936,https://pbs.twimg.com/profile_images/1706896235045543936/o1W5mNRY_bigger.jpg,0,0,0,0
https://twitter.com/thejamesonellis/status/1711899532152246693#m,"Israel has tried over and over and over again to trade land for peace, and over and over and over again Palestine rejects their offer.  Hamas’ motto is, “We love death as much as the Jews love life.”  Absolutely evil.","Oct 11, 2023 · 12:20 AM UTC",False,,{},[],[],[],Jameson Ellis,@thejamesonellis,1678524465418838017,https://pbs.twimg.com/profile_images/1678524465418838017/iErgocQi_bigger.jpg,4,16,0,45
https://twitter.com/anyaparampil/status/1711899178794721705#m,Watch @MaxBlumenthal and @Timcast discuss the latest in Palestine now,"Oct 11, 2023 · 12:19 AM UTC",False,,"{'link': 'https://twitter.com/MaxBlumenthal/status/1711896161433366966#m', 'text': 'I am live now on @Timcast talking Israel-Palestine, watch me work https://invidious.projectsegfau.lt/live/2oPoaiQZ7Ic?si=9pvARcBgLh2Kiw_5', 'user': {'name': 'Max Blumenthal', 'username': '@MaxBlumenthal', 'profile_id': '1544410511340703745', 'avatar': 'https://pbs.twimg.com/profile_images/1544410511340703745/WwmjvWjo_mini.png'}, 'date': 'Oct 11, 2023 · 12:07 AM UTC', 'pictures': [], 'videos': [], 'gifs': []}",[],[],[],Anya Parampil,@anyaparampil,1726664282211815424,https://pbs.twimg.com/profile_images/1726664282211815424/nldx2fGk_bigger.jpg,6,19,0,88
https://twitter.com/DaveCarlinTV/status/1711877512861516219#m,Communities across the Tri-State Area held rallies Tuesday. #israel #palestine @CBSNewYork,"Oct 10, 2023 · 10:52 PM UTC",False,,{},[],['https://video.twimg.com/ext_tw_video/1711877299539226624/pu/pl/3XEdqptEoXO2k_HG.m3u8?tag=12&container=fmp4'],[],Dave Carlin,@DaveCarlinTV,1664819713287806977,https://pbs.twimg.com/profile_images/1664819713287806977/82EGzooo_bigger.jpg,0,0,0,1
https://twitter.com/AlexanderPayton/status/1711821258948489271#m,Where “stand with Palestine” explicitly means “stand with the paragliders who massacred 260 people at the music festival.” Beyond the pale.,"Oct 10, 2023 · 7:09 PM UTC",False,,"{'link': '', 'text': '', 'user': {}, 'date': '', 'pictures': [], 'videos': [], 'gifs': []}",[],[],[],Payton Alexander,@AlexanderPayton,1332138228028203009,https://pbs.twimg.com/profile_images/1332138228028203009/c2rNU8JN_bigger.jpg,4,14,0,95
https://twitter.com/MikeSchlossberg/status/1711813216915833147#m,There’s a hugely important nuance in this statement. Hamas DOES NOT equal Palestine.,"Oct 10, 2023 · 6:37 PM UTC",False,,"{'link': 'https://twitter.com/lrozen/status/1711811563596767384#m', 'text': 'Biden: There’s no justification for terrorism. There’s no excuse.  Hamas does not stand for the Palestinian people’s right to dignity & self-determination. Its stated purpose is the annihilation of the state of Israel and the murder of the Jewish people.', 'user': {'name': 'Laura Rozen', 'username': '@lrozen', 'profile_id': '472902811630333952', 'avatar': 'https://pbs.twimg.com/profile_images/472902811630333952/hvAbmRyN_mini.jpeg'}, 'date': 'Oct 10, 2023 · 6:30 PM UTC', 'pictures': [], 'videos': [], 'gifs': []}",[],[],[],Mike Schlossberg,@MikeSchlossberg,1724483361341571072,https://pbs.twimg.com/profile_images/1724483361341571072/gLtLeI_z_bigger.jpg,1,2,0,7
https://twitter.com/rafat/status/1711806845088563481#m,"“Palestine” has become a brand, useful to everyone who exploits it, and I really mean everyone including the progressives AND Muslims and the autocratic rulers around the world who supposedly support the cause, except the Palestinians who have suffered the most and will continue to.  Everyone projects their own beliefs on the brand Palestine, with no sense of humans that exist below this simulacrum the world has built up over generations.  Hamas is just the worst exploiter of the brand, much to the misery of the people who it purports to represent.","Oct 10, 2023 · 6:12 PM UTC",False,,{},[],[],[],"Rafat Ali, Media Operator & Dad",@rafat,1690336190439010304,https://pbs.twimg.com/profile_images/1690336190439010304/U__45c1o_bigger.jpg,2,3,2,37
